time_ms, raw_ax, raw_ay, raw_az, filt_ax, filt_ay, filt_az
5579, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
5625, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
5671, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
5719, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
5770, 0.02, -0.00, -1.07, 0.02, -0.01, -1.06
5816, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
5862, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
5908, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
5954, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6000, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6046, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6092, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6138, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6184, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6230, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6276, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6327, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6373, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6419, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6465, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6511, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
6557, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6603, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
6649, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
6695, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6741, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6787, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6838, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6884, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
6930, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
6978, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
7024, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
7070, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
7116, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
7162, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
7208, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
7254, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
7300, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
7351, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
7397, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
7443, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
7489, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
7535, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
7581, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
7627, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
7673, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
7719, 0.02, -0.00, -1.07, 0.02, -0.01, -1.06
7765, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
7811, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
7862, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
7908, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
7954, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
8000, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8046, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8092, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
8138, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8184, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
8232, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8278, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8324, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8376, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
8423, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
8470, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8516, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8563, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8610, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8657, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
8704, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8751, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8798, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8845, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8897, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
8944, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
8991, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
9038, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
9085, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
9132, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
9179, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
9226, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
9273, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
9320, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
9367, 0.03, -0.01, -1.06, 0.02, -0.01, -1.06
9419, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
9466, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
9513, 0.03, -0.01, -1.06, 0.02, -0.01, -1.06
9562, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
9609, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
9656, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
9703, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
9750, 0.03, -0.01, -1.06, 0.02, -0.01, -1.06
9797, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
9844, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
9891, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
9943, 0.03, -0.01, -1.07, 0.02, -0.01, -1.06
9990, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
10037, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
10084, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
10131, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
10178, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
10225, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
10272, 0.02, -0.00, -1.05, 0.02, -0.01, -1.06
10319, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
10366, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
10413, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
10465, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
10512, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
10559, 0.02, -0.00, -1.07, 0.02, -0.01, -1.06
10606, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
10653, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
10700, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
10747, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
10794, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
10843, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
10890, 0.03, -0.01, -1.06, 0.02, -0.01, -1.06
10937, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
10989, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11036, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
11083, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11130, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11177, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11224, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
11271, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11318, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11365, 0.02, -0.01, -1.05, 0.02, -0.01, -1.06
11412, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11459, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11511, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11558, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
11605, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11652, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11699, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11746, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11793, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11840, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
11887, 0.02, -0.00, -1.06, 0.02, -0.01, -1.06
11934, 0.03, -0.01, -1.06, 0.02, -0.01, -1.06
11981, 0.02, -0.01, -1.06, 0.02, -0.01, -1.06
12033, 0.02, -0.01, -1.07, 0.02, -0.01, -1.06
